Programme,Section Title,Content Type,Speaker Name,Speaker Description,Segment Description,Start Time,Duration
Tagesschau,01 Details Heizungsgesetz,O-Ton,"Judith, Rakers",,"Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen (Für Menschen mit einem geringen Einkommen soll eine Wärmepumpe nicht mehr kosten als ne Gasheizung; weitere Maßnahmen sind Krediterleichterungen; Kreditkonditionen)",20:01:49.18,"0'17"""
Tagesschau,01 Förderprogramm für Austausch alter Heizungen,O-Ton,"Judith, Rakers",,"Aufsager Nadine Bader Aufzeichnung/Produktion Sendung Beitrag 01 Programmentstehung Eigenproduktion Herkunft ARD-aktuell und EVN Hauptstadtstudio Berlin Realisation sendefertig 15'19"" Tagesschau F: 24475 02.04.2023 ARDAKT 1'38"" Förderprogramm für Austausch alter Heizungen So 20:00 01 Titel Serien-/Reihentitel Tagesschau F: 24475 01 Bericht aus Berlin zu Ampel-Koalition und Standort Deutschland 15.11.2023 09:44 Seite 2 von 36 NDR Copyright (c) 2004",20:02:29.02,"0'16"""
Tagesschau,01 Förderprogramm für Austausch alter Heizungen,Sachinhalt,"Jens, Riewa",,"01 Start-TC Beitrag: 20:00:53.18 Dauer: 1'38"" Nachdem die Ampel-Koalition einen Kompromiss beim umstrittenen Gebäudeenergiegesetz mit dem Verbot des Einbaus neuer Gas- und Ölheizungen bekannt gegeben hat, arbeitet sie jetzt an einem Förderprogramm. Laut Bundesfinanzministerium soll es eine Art Abwrackprämie für alte Anlagen geben, deren Höhe vom Zustand der Anlage abhängig sein soll. Im ""Bericht aus Berlin"" nannte Bundeswirtschaftsminister Robert Habeck weitere Möglichkeiten, wie die finanzielle Entlastung gestaltet werden kann. Bildinhalt",20:02:29.02,"0'16"""
Tagesschau,01 Förderprogramm für Austausch alter Heizungen,Sachinhalt,"Jens, Riewa",,"Archivmaterial: Hausbesitzer lässt sich für die Umrüstung seiner Heizung beraten, Heizungsbauer im Keller",20:00:50.01,"0'18"""
Tagesschau,01 Förderprogramm für Austausch alter Heizungen,Sachinhalt,"Jens, Riewa",,"Grafik: Stellungnahme Christian Lindner, Bundesminister der Finanzen/Vorsitzender FDP",20:01:08.22,"0'10"""
Tagesschau,01 Förderprogramm für Austausch alter Heizungen,Sachinhalt,"Jens, Riewa",,"Regieraum ""Bericht aus Berlin"" (mehrmals) Bundeswirtschaftsminister Robert Habeck im Studiointerview",20:01:19.19,"0'32"""
Tagesschau,01 Förderprogramm für Austausch alter Heizungen,Sachinhalt,"Jens, Riewa",,"Bundesbauministerin Klara Geywitz im Studiointerview von ""Berlin Direkt"" (ZDF)",20:01:52.06,"0'21"""
Tagesschau,01 Förderprogramm für Austausch alter Heizungen,O-Ton,"Jens, Riewa",,"Robert Habeck, Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen (zählt Möglichkeiten der finanziellen Unterstützung beim Einbau einer neuen Heizung auf)",20:01:28.22,"0'14"""
Tagesschau,01 Förderprogramm für Austausch alter Heizungen,O-Ton,"Jens, Riewa",,"Klara Geywitz, Bundesministerin für Wohnen, Stadtentwicklung und Bauwesen/SPD [ZDF] (Eine Abwrackprämie, die die alten Modelle als Erstes vom Markt nimmt, ist durchaus sinnvoll; Prämie wäre technologieoffen, der Hausbesitzer kann entscheiden, wofür er sie einsetzt) Aufzeichnung/Produktion 15.11.2023 09:44 Seite 3 von 36 NDR Copyright (c) 2004",20:01:58.09,"0'15"""
Tagesschau,01 Bundesregierung: Gebäudeenergiegesetz,Sachinhalt,"Thorsten, Schröder",,"01 Start-TC Beitrag: 20:00:48.23 Dauer: 2'12"" Die Bundesregierung hat sich auf eine Novelle des Gebäudeenergiegesetzes geeinigt und damit die Umstellung von Heizungen auf Erneuerbare Energien gebilligt. Von 2024 an sollen alle neu eingebauten Heizungen zu mindestens 65 Prozent mit erneuerbaren Energien betrieben werden. Die Vorschriften werden zur Vermeidung sozialer Härten von Ausnahmen, Übergangsregelungen und Förderungsmöglichkeiten flankiert. Der Koalitionspartner FDP erwartet schon jetzt Änderungen am Gesetzentwurf, Kritik kommt von der Opposition. Bildinhalt",20:01:58.09,"0'15"""
Tagesschau,01 Bundesregierung: Gebäudeenergiegesetz,Sachinhalt,"Thorsten, Schröder",,"Demonstration der Gruppe ""Letzte Generation"" in Berlin",20:00:48.23,"0'16"""
Tagesschau,01 Bundesregierung: Gebäudeenergiegesetz,Sachinhalt,"Thorsten, Schröder",,"Christian Lindner, Robert Habeck und Maco Buschmann im Gespräch",20:01:05.12,"0'06"""
Tagesschau,01 Bundesregierung: Gebäudeenergiegesetz,Sachinhalt,"Thorsten, Schröder",,Bundespressekonferenz mit Klara Geywitz und Robert Habeck 15.11.2023 09:44 Seite 4 von 36 NDR Copyright (c) 2004,20:01:11.21,"0'35"""
Tagesschau,01 Bundesregierung: Gebäudeenergiegesetz,O-Ton,"Thorsten, Schröder",,"Robert Habeck, Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen (Haben große Aufgabe vor uns; beginnen sie recht spät, andere Länder haben das schon früher getan)",20:01:21.04,"0'07"""
Tagesschau,01 Bundesregierung: Gebäudeenergiegesetz,O-Ton,"Thorsten, Schröder",,"Klara Geywitz, Bundesministerin für Wohnen, Stadtentwicklung und Bauwesen/SPD Gesetz wird nicht dazu führen, dass jemand ohne Heizung ist oder sein Haus verkaufen muss, weil sie sich nicht an die Anforderungen des Gesetzes halten können)",20:01:36.16,"0'11"""
Tagesschau,01 Bundesregierung: Gebäudeenergiegesetz,O-Ton,"Thorsten, Schröder",,"Christian Dürr, Fraktionsvorsitzender FDP (Es wird im parlamentarischen Verfahren Änderungen am Gesetzentwurf geben; im Vergleich zum ursprünglichen Entwurf von Robert Habeck ist er besser geworden, aber wir wollen Technologieoffen sein, weil nicht überall die Wärmepumpe passt)",20:02:13.24,"0'12"""
Tagesschau,01 Bundesregierung: Gebäudeenergiegesetz,O-Ton,"Thorsten, Schröder",,"Jens Spahn, stellvertretender Fraktionsvorsitzender CDU/CSU (Das Gesetz, so wie es heute im Kabinett beschlossen wurde, hat schon in der Koalition keine Mehrheit; das Chaos bei der Wärme-Wende geht weiter)",20:02:30.07,"0'11"""
Tagesschau,02 FDP-Parteitag,O-Ton,"Thorsten, Schröder",,"Aufsager Justus Kliss Aufzeichnung/Produktion Sendung Beitrag 01 Programmentstehung Eigenproduktion Herkunft ARD-aktuell und EVN Hauptstadtstudio Berlin Realisation sendefertig 15'11"" Tagesschau F: 24495 22.04.2023 ARDAKT 1'44"" FDP-Parteitag Sa 20:00 02 Titel Serien-/Reihentitel Tagesschau F: 24495 Plan- und Sendedaten Start-TC:20:03:28.02 Ereignistyp Btr. Datum/Uhrzeit Ereignisdauer publiziert von/in ESD 22.04.2023 20:00 1'44"" in 15'11"" NDR @ ARD-1 Anmerkung: zusätzlich in: 3sat; NDR-NDR-RB; WDR-Fernsehen; hessen fernsehen; SWR; tagesschau24; RBB; SR; BR; ARD-Alpha; Phoenix Urheber/Produktion/Mitwirkung Programmbereich ARD-AKTUELL Redaktion (Bereich) ARD-AKTUELL 15.11.2023 09:44 Seite 5 von 36 NDR Copyright (c) 2004",20:02:49.13,"0'12"""
Tagesschau,02 FDP-Parteitag,Sachinhalt,"Julia-Niharika, Sen",,"02 Start-TC Beitrag: 20:03:28.02 Dauer: 1'44"" Der FDP-Bundesparteitag hat darüber entschieden, das Gebäudeenergiegesetzes mit den Vorgaben für den Heizungsaustausch komplett zu stoppen. Der FDP-Bezirksverband Ostwestfalen-Lippe hatte einen entsprechenden Dringlichkeitsantrag eingereicht, der auf dem Parteitag angenommen wurde. Bildinhalt",20:02:49.13,"0'12"""
Tagesschau,02 FDP-Parteitag,Sachinhalt,"Julia-Niharika, Sen",,"FDP-Parteitag, u.a. Frank Schäffler unter den Abgeordneten; Internetseite mit Informationen zum Gebäudeenergiegesetz (Antrag D004); Schäffler bei Rede; Applaus Parteimitglieder",20:03:28.02,"0'52"""
Tagesschau,02 FDP-Parteitag,O-Ton,"Julia-Niharika, Sen",,"Frank Schäffler, Vorsitzender FDP Ostwestfalen-Lippe (Ja wir wollen das Gebäudeenergiegesetz, dass Robert Habeck ja eingebracht hat, dass ja ein Heizungsverbotsgesetz ist, das wollen wir vom Kopf auf die Füße stellen)",20:03:45.09,"0'08"""
Tagesschau,03 Lage der Bundes-Grünen vor der Bremenwahl,O-Ton,"Julia-Niharika, Sen",,"Frank Schäffler, Vorsitzender FDP Ostwestfalen-Lippe (fordert, dass man den Menschen überlassen sollte, wie sie investieren und dass man sie nicht bevormunden sollte. Und dass dies die liberale Botschaft dieses Parteitags sein sollte; bittet um Unterstützung) Aufzeichnung/Produktion Sendung Beitrag 02 Programmentstehung Eigenproduktion Herkunft ARD-aktuell und EVN Hauptstadtstudio Berlin Realisation sendefertig 15'14"" Tagesschau F: 24510 07.05.2023 ARDAKT 1'43"" Lage der Bundes-Grünen vor der Bremenwahl So 20:00 03 Titel Serien-/Reihentitel Tagesschau F: 24510 15.11.2023 09:44 Seite 6 von 36 NDR Copyright (c) 2004",20:04:07.12,"0'13"""
Tagesschau,03 Lage der Bundes-Grünen vor der Bremenwahl,Sachinhalt,"Constantin, Schreiber",,"03 Start-TC Beitrag: 20:05:15.18 Dauer: 1'43"" Bündnis 90/Die Grünen befinden sich derzeit im Umfragetief. Im letzten Deutschlandtrend lag die Partei bei 16 Prozent. Zuletzt gab es viel Kritik am Heizungsgesetz oder an vermeintlicher Vetternwirtschaft im grün geführten Bundeswirtschaftsministerium. Bildinhalt",20:04:07.12,"0'13"""
Tagesschau,03 Lage der Bundes-Grünen vor der Bremenwahl,Sachinhalt,"Constantin, Schreiber",,"Regieraum ""Bericht aus Berlin"", Grünen-Vorsitzende Ricarda Lang zu Gast im Studio",20:05:15.18,"0'22"""
Tagesschau,03 Lage der Bundes-Grünen vor der Bremenwahl,Sachinhalt,"Constantin, Schreiber",,Archivmaterial (06.05.2023): Bündnis 90/Die Grünen feiern in Leipzig 30. Jubiläum des Zusammenschlusses von Bündnis 90 und Die Grünen,20:05:56.12,"0'07"""
Tagesschau,03 Lage der Bundes-Grünen vor der Bremenwahl,Sachinhalt,"Constantin, Schreiber",,"Ricarda Lang als Studiogast im ""Bericht aus Berlin""",20:06:13.01,"0'05"""
Tagesschau,03 Lage der Bundes-Grünen vor der Bremenwahl,Sachinhalt,"Constantin, Schreiber",,Heizungsbauer bei der Arbeit,20:06:18.14,"0'09"""
Tagesschau,03 Lage der Bundes-Grünen vor der Bremenwahl,O-Ton,"Constantin, Schreiber",,"Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen (""Glaubwürdigkeit geht, indem wir klare Regeln haben, indem wir uns auch nicht verunsichern lassen und indem wir jetzt die Fragen, die die Bürgerinnen und Bürger tatsächlich umtreiben, z. B. soziale Frage, beantworten"")",20:05:37.21,"0'18"""
Tagesschau,03 Lage der Bundes-Grünen vor der Bremenwahl,O-Ton,"Constantin, Schreiber",,"Sabine Kropp, Politikwissenschaftlerin Freie Universität Berlin",20:06:04.12,"0'08"""
Tagesschau,03 Lage der Bundes-Grünen vor der Bremenwahl,O-Ton,"Constantin, Schreiber",,"Ricarda Lang (""Die Alternative zur Veränderung ist nicht, dass alles bleibt, wie es ist. Die Alternative ist, dass es unsicherer, teurer und gefährlicher wird. Aber, wenn wir jetzt sagen, wir gehen diese Veränderung an, das machen wir gemeinsam, ... dann heißt das doch jetzt auch, dass wir gemeinsam Geld in die Hand nehmen, um sie [die Bürger] dabei zu unterstützen"") 15.11.2023 09:44 Seite 7 von 36 NDR Copyright (c) 2004",20:06:27.15,"0'21"""
Tagesschau,03 Reaktionen Wahl Bürgerschaft Bremen,Sachinhalt,"Julia-Niharika, Sen",,"03 Start-TC Beitrag: 20:04:46.11 Dauer: 1'56"" Reaktionen der Bundesparteien zum Wahlausgang der Bürgerschaftswahl in Bremen. Die SPD von Bürgermeister Andreas Bovenschulte hat nach aktueller Hochrechnung mit 30,1 Prozent einen deutlichen Sieg errungen. Die CDU landete mit 25 Prozent auf dem zweiten Platz, die mitregierenden Bündnis 90/Die Grünen mussten deutliche Verluste einstecken, die Linke blieb stabil und die FDP schaffte die Fünf-Prozent- Hürde. Bildinhalt",20:06:27.15,"0'21"""
Tagesschau,03 Reaktionen Wahl Bürgerschaft Bremen,Sachinhalt,"Julia-Niharika, Sen",,Andreas Bovenschulte nimmt Gratulationen von Parteigenossen in der SPD-Parteizentrale entgegen,20:04:46.11,"0'17"""
Tagesschau,03 Reaktionen Wahl Bürgerschaft Bremen,Sachinhalt,"Julia-Niharika, Sen",,Parteizentrale und Pressekonferenz Bündnis 90/Die Grünen,20:05:17.04,"0'20"""
Tagesschau,03 Reaktionen Wahl Bürgerschaft Bremen,Sachinhalt,"Julia-Niharika, Sen",,"Kristina Vogt, Spitzenkandidatin Die Linke Bremen, mit Blumenstrauß auf Pressekonferenz von Die Linke 15.11.2023 09:44 Seite 8 von 36 NDR Copyright (c) 2004",20:05:38.03,"0'15"""
Tagesschau,03 Reaktionen Wahl Bürgerschaft Bremen,O-Ton,"Julia-Niharika, Sen",,"Lars Klingbeil, Vorsitzender SPD (zum geplanten Heizungsgesetz: ""Wir wollen die soziale Förderung auf den Weg bringen, das heißt auch Förderung gestaffelt nach Einkommen. Wir werden als SPD darauf achten, dass der Mieterschutz gestärkt wird. Es kann nicht sein, dass die Kosten am Ende auf die Mieter umgelegt werden"")",20:05:03.24,"0'13"""
Tagesschau,03 Reaktionen Wahl Bürgerschaft Bremen,O-Ton,"Julia-Niharika, Sen",,"Omid Nouripour, Vorsitzender Bündnis 90/Die Grünen (""Wir sind für Sondierungsgespräche ... bereit, weil wir hoffen, dass wir weiter mitwirken können"")",20:05:30.20,"0'07"""
Tagesschau,03 Reaktionen Wahl Bürgerschaft Bremen,O-Ton,"Julia-Niharika, Sen",,"Martin Schirdewan, Vorsitzender Die Linke (""Es ist ein Grund zur Freude für die gesamte Partei ... Dieses Ergebnis wird uns entsprechend auch Rückenwind geben für die gesamte Partei"")",20:05:45.07,"0'08"""
Tagesschau,03 Reaktionen Wahl Bürgerschaft Bremen,O-Ton,"Julia-Niharika, Sen",,"Friedrich Merz, Vorsitzender CDU (""Deshalb möchte ich auch an die SPD appellieren, jetzt auch die Chance wahrzunehmen, mit der CDU in Bremen Gespräche zu führen über eine mögliche Zusammenarbeit in Bremen"")",20:06:03.09,"0'12"""
Tagesschau,01 Debatte um Gebäudeenergiegesetz,O-Ton,"Julia-Niharika, Sen",,"Christian Lindner, Vorsitzender FDP (""Wir arbeiten mit fröhlicher Penetranz daran, dass Deutschland liberaler, moderner und digitaler wird"") Aufzeichnung/Produktion Sendung Beitrag 03 Programmentstehung Eigenproduktion Herkunft ARD-aktuell und EVN Hauptstadtstudio Berlin Realisation sendefertig 15'29"" Tagesschau F: 24521 18.05.2023 ARDAKT 1'50"" Debatte um Gebäudeenergiegesetz Do 20:00 01 Titel Serien-/Reihentitel Tagesschau F: 24521 Plan- und Sendedaten Start-TC:20:00:42.11 Ereignistyp Btr. Datum/Uhrzeit Ereignisdauer publiziert von/in ESD 18.05.2023 20:00 1'50"" in 15'29"" NDR @ ARD-1 Anmerkung: zusätzlich in: 3sat; NDR-NDR-RB; WDR-Fernsehen; hessen fernsehen; 15.11.2023 09:44 Seite 9 von 36 NDR Copyright (c) 2004",20:06:24.03,"0'09"""
Tagesschau,01 Debatte um Gebäudeenergiegesetz,O-Ton,"Thorsten, Schröder",,"Julia Klöckner, Fraktion CDU/CSU (Ich erwarte von Minister Habeck, dass er jetzt einfach mal auf die Stopptaste drückt, dass er nicht mit der Brechstange versucht, ein Gesetz durchzudrücken, was gegen jede wissenschaftliche Berechnung ist, was auch gegen die Wünsche und Bedürfnisse der Bürgerinnen und Bürger ist und vor allen Dingen das überhaupt nicht technologieoffen ist)",20:01:25.13,"0'19"""
Tagesschau,01 Philipp Nimmermann wird Graichen-Nachfolger,O-Ton,"Thorsten, Schröder",,"Andreas Audretsch, stellvertretender Fraktionsvorsitzender Bündnis 90/Die Grünen (Im Kabinett haben wieder alle zugestimmt, und deswegen sind wir jetzt in den parlamentarischen Beratungen auch genau auf diesem Weg. Vor dem Sommer wird es einen Beschluss über das Gebäudeenergiegesetz im Deutschen Bundestag geben) Aufzeichnung/Produktion Sendung Beitrag 01 Programmentstehung Eigenproduktion Herkunft ARD-aktuell und EVN Hauptstadtstudio Berlin Realisation sendefertig 17'44"" Tagesschau F: 24525 22.05.2023 ARDAKT 2'31"" Philipp Nimmermann wird Graichen-Nachfolger Mo 20:00 01 Titel Serien-/Reihentitel Tagesschau F: 24525 Plan- und Sendedaten Start-TC:20:00:44.17 Ereignistyp Btr. Datum/Uhrzeit Ereignisdauer publiziert von/in ESD 22.05.2023 20:00 2'31"" in 17'44"" NDR @ ARD-1 Anmerkung: zusätzlich in: 3sat; NDR-NDR-RB; WDR-Fernsehen; hessen fernsehen; SWR; tagesschau24; RBB; SR; BR; ARD-Alpha; Phoenix 15.11.2023 09:44 Seite 10 von 36 NDR Copyright (c) 2004",20:01:57.17,"0'09"""
Tagesschau,01 Philipp Nimmermann wird Graichen-Nachfolger,Sachinhalt,"Jens, Riewa",,"01 Start-TC Beitrag: 20:00:44.17 Dauer: 2'31"" Philipp Nimmermann wird neuer Staatssekretär im Bundeswirtschaftsministerium. Bundeswirtschaftsminister Robert Habeck lobte Nimmermann als erfahrenen Staatssekretär mit ökonomischer Expertise und viel Verwaltungserfahrung, der die Energiewende, die Wärmewende und die Transformation voranbringen werde. Derweil geht der Streit innerhalb der Regierungskoalition über das Gebäudeenergiegesetz (Heizungsgesetz) weiter. Die FDP kritisiert, der Entwurf sei nicht praxistauglich und besteht auf einer grundlegenden Überarbeitung. Bildinhalt",20:01:57.17,"0'09"""
Tagesschau,01 Philipp Nimmermann wird Graichen-Nachfolger,Sachinhalt,"Jens, Riewa",,Archivmaterial/Fotos: Philipp Nimmermann,20:00:48.06,"0'07"""
Tagesschau,01 Philipp Nimmermann wird Graichen-Nachfolger,Sachinhalt,"Jens, Riewa",,Robert Habeck bei Pressekonferenz,20:00:55.07,"0'17"""
Tagesschau,01 Philipp Nimmermann wird Graichen-Nachfolger,Sachinhalt,"Jens, Riewa",,Archivmaterial: Handwerker Heizungsanlage,20:01:13.05,"0'12"""
Tagesschau,01 Philipp Nimmermann wird Graichen-Nachfolger,Sachinhalt,"Jens, Riewa",,Grafik: geplantes Heizungsgesetz,20:01:41.11,"0'14"""
Tagesschau,01 Philipp Nimmermann wird Graichen-Nachfolger,O-Ton,"Jens, Riewa",,"Robert Habeck, Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen (über Philipp Nimmermann)",20:00:57.17,"0'15"""
Tagesschau,01 Philipp Nimmermann wird Graichen-Nachfolger,O-Ton,"Jens, Riewa",,"Bijan Djir-Sarai, Generalsekretär FDP (zum Gebäudeenergiegesetz: Wenn man sich ansieht, was auf dem Tisch liegt, das ist eine so große Baustelle, dass ich mir nicht vorstellen kann, dass wir in dieser Sitzungswoche geschweige denn vor der Sommerpause ein Ergebnis erzielen können)",20:01:25.23,"0'15"""
Tagesschau,01 Philipp Nimmermann wird Graichen-Nachfolger,O-Ton,"Jens, Riewa",,"Rolf Mützenich, Fraktionsvorsitzender SPD (Kritik an FDP: Es nervt auch die Fraktionsspitzen, von daher hoffe ich, dass in den nächsten Stunden ein Umdenken möglich ist; die FDP muss in der Lage sein, auch zu belastbaren Beratungen im Bundestag zu kommen)",20:02:11.05,"0'14"""
