"Citizens_Concerns","Policy","Politics","Climate_Context","other"
"sozial","heiz","fdp","klimaschutz","schnell"
"buerger","gebaeudeenergiegesetz","ampel","klimaneutral","arbeit"
"leute","thema","habeck","gru","beantwort"
"sorgen","̬ol","gruen","klima","staerk"
"kosten","foerderung","cdu","erneuerbar","sprech"
"geld","streit","koalition","sommerpause","versuchen"
"moeglichkeit","waermepump","opposition","berlin","diskussion"
"einkommen","gesetzentwurf","bundestag","kritik","bleiben"
"berat","gasheiz","union","kabinett","bau"
"buerg","wasserstoff","partei","zurueck","schaffen"
